,OBJECTID,PROVINCIA,DISTRITO,CORREGIMIENTO,CANTIDAD,HOSPITALIZADO,AISLAMIENTO_DOMICILIARIO,FALLECIDO,UCI,RECUPERADO,LONG,LAT,GlobalID
217,218,COLÓN,SANTA ISABEL,NOMBRE DE DIOS,2.0,0.0,1.0,0.0,0.0,1.0,666880.351937345,1055082.15869053,5548ce61-974c-4896-92db-7e10255bf133
218,219,COLÓN,SANTA ISABEL,PALENQUE (CABECERA),8.0,1.0,6.0,0.0,0.0,1.0,678631.037016133,1049715.58839682,81914da8-8b46-46fa-9aa1-3a4af23b2f9b
219,220,COLÓN,SANTA ISABEL,PALMIRA,1.0,0.0,0.0,0.0,0.0,1.0,695635.595637604,1045313.35584238,4019248c-7d95-4e4b-96eb-934988b96121
220,221,COLÓN,SANTA ISABEL,PLAYA CHIQUITA,1.0,0.0,1.0,0.0,0.0,0.0,686579.345047392,1047953.12913904,6860498f-a27d-4953-810c-8f98ddbcc845
221,222,COLÓN,SANTA ISABEL,SANTA ISABEL,5.0,0.0,4.0,0.0,0.0,1.0,704400.610796981,1050851.38416394,94ebf568-89e4-4c62-b139-17cd1efca066
222,223,COLÓN,SANTA ISABEL,VIENTO FRIO,,,,,,,675553.547115652,1055290.10721892,34507d6f-6b3b-422d-a086-a04b3131c6b3
223,224,COMARCA GUNA YALA,GUNA YALA,AILIGANDI,249.0,5.0,143.0,4.0,0.0,97.0,812191.534190785,1020534.04241237,cb3e49a2-82ca-4ff7-99e9-2157b9be9a4b
224,225,COMARCA GUNA YALA,GUNA YALA,NARGANA (CABECERA),186.0,1.0,23.0,16.0,0.0,146.0,736281.965639586,1038782.43528553,d9db39fc-0df5-4219-89be-dc25754925d0
225,226,COMARCA GUNA YALA,GUNA YALA,PUERTO OBALDIA,30.0,0.0,1.0,1.0,0.0,28.0,891618.279785592,953158.242525645,2d9e1b5e-6aeb-4abf-abb3-b4ad530b8db8
226,227,COMARCA GUNA YALA,GUNA YALA,TUBUALA,20.0,0.0,19.0,0.0,0.0,1.0,861367.463551126,981082.894526922,79ffaed7-cfea-4c58-b8e6-b44d8243eeb4
227,228,COMARCA NGÄBE BUGLÉ,BESIKO,BOCA DE BALSA,2.0,0.0,0.0,1.0,0.0,1.0,386510.996329708,949575.988260239,5cff6a64-c919-4699-8dfb-276c32500b86
228,229,COMARCA NGÄBE BUGLÉ,BESIKO,CAMARON ARRIBA,2.0,0.0,1.0,0.0,0.0,1.0,390348.330732989,928054.889782886,c1a8f803-57e4-4e87-b415-dd1cb9acf0fa
229,230,COMARCA NGÄBE BUGLÉ,BESIKO,CERRO BANCO,6.0,0.0,3.0,0.0,0.0,3.0,388509.687425829,936250.569374409,347592a9-d29f-4a6f-8bc0-4a4bb2c43419
230,231,COMARCA NGÄBE BUGLÉ,BESIKO,CERRO DE PATENA,,,,,,,397279.57920108,933353.385189675,faf3c210-0b05-42ff-883b-0580ae0dc080
231,232,COMARCA NGÄBE BUGLÉ,BESIKO,EMPLANADA DE CHORCHA,2.0,0.0,1.0,0.0,0.0,1.0,374386.873462172,951396.311597633,cd5ab7a6-239a-423b-8244-689f8b00a9d9
232,233,COMARCA NGÄBE BUGLÉ,BESIKO,NAMNONI,6.0,0.0,5.0,0.0,0.0,1.0,393244.414854456,925239.383733855,2e04989b-dd81-45aa-8d53-0c53fc56a6a9
233,234,COMARCA NGÄBE BUGLÉ,BESIKO,NIBA,5.0,0.0,0.0,0.0,0.0,5.0,395038.23442076,946500.835636828,53b3c696-8ded-4d19-a24c-64a0ecef4caf
